run_id,case_id,seed,system,setting,model,temperature,max_tokens,round_cap,rag_enabled,rag_fallback_used,fallback_tainted,retry_used,retry_count,runtime_seconds,n_phase1_agents,n_phase1_elements,n_phase2_negotiations,n_phase2_steps,n_phase3_elements,n_phase3_connections,conflict_resolution_rate,chv,mdc,semantic_preservation_f1,semantic_p2_vs_p1_f1,s_logic,topology_is_valid,deterministic_is_valid,compliance_coverage,s_term,iso29148_unambiguous,iso29148_correctness,iso29148_verifiability,iso29148_set_consistency,iso29148_set_feasibility,blind_eval_run_id,judge_pipeline_hash,validation_passed,non_comparable_reason
iredev-ad-multi_agent_with_negotiation-s303,AD,303,iredev,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,2,138.030467,6,27,6,12,7,6,1.0,0.005774,0.690084,0.921269,0.998029,1.0,1,0,0.0,0.666667,4.266667,3.8,1.0,5.0,1.0,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,verification_not_executed_for_setting
iredev-ad-negotiation_integration_verification-s303,AD,303,iredev,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,True,True,3,146.110623,6,27,6,12,27,21,0.0,0.003061,0.596458,0.932037,1.0,1.0,1,1,0.1,1.0,5.0,5.0,3.2,5.0,2.84,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,
iredev-atm-single_agent-s101,ATM,101,iredev,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.010464,1,7,0,0,7,6,0.0,0.0,0.0,0.937011,0.0,1.0,1,0,0.6,0.285714,3.428571,3.8,2.2,5.0,2.44,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
iredev-atm-multi_agent_without_negotiation-s101,ATM,101,iredev,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,2,140.296565,6,27,0,0,27,21,0.0,0.005891,0.731273,0.936651,0.0,1.0,1,0,0.2,0.428571,3.742856,3.8,1.4,5.0,1.48,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,negotiation_and_verification_not_executed_for_setting
iredev-atm-multi_agent_with_negotiation-s101,ATM,101,iredev,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,3,136.276727,6,30,6,12,7,6,0.0,0.004083,0.646282,0.923661,1.0,1.0,1,0,0.2,0.428571,3.742856,3.8,1.4,5.0,1.48,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,verification_not_executed_for_setting
iredev-atm-negotiation_integration_verification-s101,ATM,101,iredev,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,True,True,2,152.412006,6,27,6,12,27,21,0.0,0.005878,0.726993,0.929593,1.0,1.0,1,1,0.4,0.285714,3.428571,5.0,3.8,5.0,3.56,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,
iredev-atm-single_agent-s202,ATM,202,iredev,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.009428,1,7,0,0,7,6,0.0,0.0,0.0,0.935422,0.0,1.0,1,0,0.6,0.285714,3.428571,3.8,2.2,5.0,2.44,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
iredev-atm-multi_agent_without_negotiation-s202,ATM,202,iredev,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,2,144.680182,6,27,0,0,27,21,0.0,0.005875,0.716519,0.92249,0.0,1.0,1,0,0.4,0.428571,3.742856,3.8,1.8,5.0,1.96,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,negotiation_and_verification_not_executed_for_setting
iredev-atm-multi_agent_with_negotiation-s202,ATM,202,iredev,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,True,3,158.602694,6,30,6,12,7,6,1.0,0.002013,0.562042,0.924354,0.990826,1.0,1,0,0.2,0.428571,3.742856,3.8,1.4,5.0,1.48,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,verification_not_executed_for_setting
iredev-atm-negotiation_integration_verification-s202,ATM,202,iredev,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,True,True,3,187.221793,6,27,6,12,27,21,1.0,0.005877,0.705136,0.916721,0.985381,1.0,1,1,0.2,0.428571,3.742856,5.0,3.4,5.0,3.08,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,False,
