run_id,case_id,seed,system,setting,model,temperature,max_tokens,round_cap,rag_enabled,rag_fallback_used,fallback_tainted,retry_used,retry_count,runtime_seconds,n_phase1_agents,n_phase1_elements,n_phase2_negotiations,n_phase2_steps,n_phase3_elements,n_phase3_connections,conflict_resolution_rate,chv,mdc,semantic_preservation_f1,semantic_p2_vs_p1_f1,s_logic,topology_is_valid,deterministic_is_valid,compliance_coverage,s_term,iso29148_unambiguous,iso29148_correctness,iso29148_verifiability,iso29148_set_consistency,iso29148_set_feasibility,blind_eval_run_id,judge_pipeline_hash,validation_passed,non_comparable_reason
mare-ad-multi_agent_with_negotiation-s303,AD,303,mare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,27.312884,5,20,5,10,6,5,1.0,0.00016,0.659064,0.878863,0.932412,1.0,1,0,0.0,0.75,4.45,3.8,1.0,5.0,1.0,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
mare-ad-negotiation_integration_verification-s303,AD,303,mare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,34.098636,5,20,5,10,20,15,1.0,0.002667,0.703561,0.897173,0.973077,1.0,1,1,0.066667,1.0,5.0,5.0,3.133334,5.0,2.760001,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
mare-atm-single_agent-s101,ATM,101,mare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.009196,1,7,0,0,7,6,0.0,0.0,0.0,0.937011,0.0,1.0,1,0,0.6,0.285714,3.428571,3.8,2.2,5.0,2.44,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
mare-atm-multi_agent_without_negotiation-s101,ATM,101,mare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,28.323184,5,24,0,0,24,19,0.0,0.005136,0.840412,0.900197,0.0,1.0,1,0,0.3,0.428571,3.742856,3.8,1.6,5.0,1.72,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
mare-atm-multi_agent_with_negotiation-s101,ATM,101,mare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,29.14355,5,24,5,10,6,5,1.0,0.093169,0.876991,0.876939,0.956277,1.0,1,0,0.0,0.714286,4.371429,3.8,1.0,5.0,1.0,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
mare-atm-negotiation_integration_verification-s101,ATM,101,mare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,30.096554,5,25,5,10,25,20,1.0,0.005082,0.843979,0.888007,0.958026,1.0,1,1,0.3,0.714286,4.371429,5.0,3.6,5.0,3.32,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
mare-atm-single_agent-s202,ATM,202,mare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.009365,1,7,0,0,7,6,0.0,0.0,0.0,0.935422,0.0,1.0,1,0,0.6,0.285714,3.428571,3.8,2.2,5.0,2.44,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,single_agent_baseline_partial_phase_equivalence
mare-atm-multi_agent_without_negotiation-s202,ATM,202,mare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,36.097655,5,25,0,0,25,20,0.0,0.002105,0.873412,0.908955,0.0,1.0,1,0,0.4,0.0,2.8,3.8,1.8,5.0,1.96,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,negotiation_and_verification_not_executed_for_setting
mare-atm-multi_agent_with_negotiation-s202,ATM,202,mare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,36.929268,5,25,5,10,6,5,1.0,0.002415,0.837734,0.887275,0.960964,1.0,1,0,0.3,0.428571,3.742856,3.8,1.6,5.0,1.72,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,verification_not_executed_for_setting
mare-atm-negotiation_integration_verification-s202,ATM,202,mare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,35.865423,5,25,5,10,25,20,1.0,0.005135,0.85395,0.88822,0.960964,1.0,1,1,0.3,0.142857,3.114285,5.0,3.6,5.0,3.32,,aca4416c757997fb3f3688c03e0d361b94a59adaca560b6cc5221f89f386eebd,True,
