threshold,case_id,runs,asp_mean,asp_std,asr_mean,asr_std,dfs_mean,dfs_std,n_agents_mean,n_agents_std,cnr_mean,cnr_std,total_tokens_mean,total_tokens_std
0.5,Bookkeeping,3,0.5714285714285714,0.0,0.8,0.0,0.6666666666666666,0.0,7,0.0,0.0,0.0,27676.333333333332,691.3495658653603
0.6,AD,3,1.0,0.0,0.8333333333333334,0.0,0.9090909090909091,0.0,5,0.0,0.0,0.0,29242.333333333332,541.2555362816676
0.6,ATM,3,1.0,0.0,0.8333333333333334,0.0,0.9090909090909091,0.0,5,0.0,0.0,0.0,24664,354.9826286829634
0.6,Library,3,0.75,0.0,0.6,0.0,0.6666666666666665,0.0,4,0.0,0.0,0.0,16771.666666666668,1507.3281733657811
0.6,RollCall,3,0.6666666666666666,0.0,0.8,0.0,0.7272727272727272,0.0,6,0.0,0.6666666666666666,0.4714045207910317,22583.333333333332,1684.868408973103
0.6,Bookkeeping,3,0.8,0.0,0.8,0.0,0.8000000000000002,0.0,5,0.0,0.0,0.0,19610.666666666668,763.3331877729119
0.7,AD,3,1.0,0.0,0.8333333333333334,0.0,0.9090909090909091,0.0,5,0.0,0.0,0.0,28902,889.1377845980903
0.7,ATM,3,1.0,0.0,0.8333333333333334,0.0,0.9090909090909091,0.0,5,0.0,0.0,0.0,24746.666666666668,248.04479882114484
0.7,Library,3,0.8,0.0,0.8,0.0,0.8000000000000002,0.0,5,0.0,0.16666666666666666,0.23570226039551584,23810.666666666668,1363.3782388692516
0.7,RollCall,3,0.5793650793650793,0.06827242275430655,0.7333333333333334,0.09428090415820636,0.6464646464646464,0.07558903811664526,6.333333333333333,0.4714045207910317,0.8333333333333334,0.23570226039551584,28432.666666666668,6287.140544176043
0.7,Bookkeeping,3,0.8,0.0,0.8,0.0,0.8000000000000002,0.0,5,0.0,0.0,0.0,19626.333333333332,779.3301967430465
0.8,AD,3,1.0,0.0,0.8333333333333334,0.0,0.9090909090909091,0.0,5,0.0,0.0,0.0,29256.333333333332,469.5489561507109
0.8,ATM,3,1.0,0.0,0.8333333333333334,0.0,0.9090909090909091,0.0,5,0.0,0.0,0.0,24831.666666666668,466.1261155047586
0.8,Library,3,0.7833333333333333,0.023570226039551605,0.7333333333333334,0.09428090415820636,0.7555555555555556,0.06285393610547103,4.666666666666667,0.4714045207910317,0.0,0.0,18308,2588.8906247013733
0.8,RollCall,3,0.6222222222222222,0.03142696805273544,0.6666666666666666,0.09428090415820636,0.6424242424242423,0.05999693900976764,5.333333333333333,0.4714045207910317,0.8333333333333334,0.23570226039551584,23531.333333333332,595.9230002460235
0.8,Bookkeeping,3,0.8,0.0,0.8,0.0,0.8000000000000002,0.0,5,0.0,0.0,0.0,19617,763.4897947364238
0.9,AD,3,1.0,0.0,0.6666666666666666,0.0,0.8,0.0,4,0.0,0.0,0.0,24572,97.68316129200569
0.9,ATM,3,1.0,0.0,0.8333333333333334,0.0,0.9090909090909091,0.0,5,0.0,0.0,0.0,23613.666666666668,735.0874475567894
0.9,Library,3,1.0,0.0,0.4,0.0,0.5714285714285715,0.0,2,0.0,0.0,0.0,11760.666666666666,1846.1147189585904
0.9,RollCall,3,0.6388888888888888,0.10393492741038726,0.4666666666666667,0.09428090415820632,0.537037037037037,0.0944262872887552,3.6666666666666665,0.4714045207910317,0.6666666666666666,0.4714045207910317,18192,2513.3429265953077
0.9,Bookkeeping,3,0.6666666666666666,0.0,0.4,0.0,0.5,0.0,3,0.0,0.0,0.0,15163.666666666666,661.770520816863
